id,RA_C,DEC_C,RA_M,DEC_M,DIF,MAG_R,MAG_V,MAG_B,MAG_err,CMAG_R,CMAG_V,CMAG_B,DATETIME,IMGNAME
642-092649,305.8279359,38.388335599999998,305.82811943373144,38.388148983392966,0.84799999999999998,---,---,11.254977857237062,0.00032764096373612094,---,---,11.159999847412109,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.90188368052446,38.403322982095176,nan,---,---,14.935047184433129,0.00094311516621606837,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094286,306.15079300000002,38.443072800000003,306.15083584859468,38.443013382283269,0.246,---,---,12.391076108604643,0.00029443218996596545,---,---,12.265999794006348,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094162,305.97926330000001,38.466352000000001,305.97933051517981,38.466268228841322,0.35599999999999998,---,---,10.141622063976257,0.00023722230269277684,---,---,10.163000106811523,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094068,305.89056649999998,38.458473400000003,305.89106148488975,38.458734539607569,1.6819999999999999,---,---,12.59953575609336,0.00047504850277527215,---,---,12.605999946594238,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.89046627090283,38.458177470296604,nan,---,---,12.933189257635595,0.00086849161773514807,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094261,306.10511059999999,38.485246400000001,306.10504514850624,38.485175441962475,0.315,---,---,10.417694958172397,0.00023891467011613433,---,---,10.309000015258789,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094105,305.92853769999999,38.475976199999998,305.92834507669016,38.475803601564536,0.82499999999999996,---,---,12.53600025177002,0.00046795577726388242,---,---,12.53600025177002,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.92893177307332,38.476312394900063,nan,---,---,12.556421079597152,0.00052722098872560466,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094203,306.02728089999999,38.492551200000001,306.02733206195228,38.492514261323734,0.19600000000000001,---,---,9.7832258269824273,0.00021468572417689168,---,---,9.8920001983642578,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094163,305.97948680000002,38.485575900000001,305.97964403621796,38.485642658415053,0.504,---,---,12.300688160685057,0.00033835332134858544,---,---,12.270999908447266,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094143,305.96252529999998,38.492860899999997,305.96243938378694,38.492715953651683,0.57499999999999996,---,---,9.0136149618950618,0.00017434467375060687,---,---,9.369999885559082,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094180,305.9956353,38.560020000000002,305.99584309286695,38.560179034632824,0.81799999999999995,---,---,10.927839425542235,0.00027269549144659803,---,---,10.866999626159668,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
